Wall time,Step,Value
1569095192.7279408,4509,96.875
1569095192.75088,4510,100.0
1569095198.703472,4529,96.875
1569095198.7353878,4530,98.4375
1569095198.8251472,4533,95.3125
1569095199.1044,4542,95.3125
1569095199.367696,4550,98.4375
1569095199.4365122,4552,98.4375
1569095199.472417,4553,100.0
1569095200.1146984,4578,100.0
1569095200.193488,4581,95.3125
1569095200.503658,4592,95.3125
1569095200.5854404,4595,96.875
1569095200.661238,4597,98.4375
1569095200.698138,4599,100.0
1569095201.0322473,4611,100.0
1569095206.528548,4628,100.0
1569095207.1000197,4649,98.4375
1569095207.2685685,4656,100.0
1569095207.465044,4664,96.875
1569095207.5597908,4668,95.3125
1569095207.7462919,4675,96.875
1569095207.7672358,4676,96.875
1569095207.794164,4677,98.4375
1569095208.0664358,4687,98.4375
1569095208.746617,4713,95.3125
1569095208.897215,4718,98.4375
1569095214.5927832,4734,98.4375
1569095214.7304142,4739,100.0
1569095214.8889897,4745,98.4375
1569095214.9887238,4749,98.4375
1569095215.0176458,4750,98.4375
1569095215.2250905,4758,96.875
1569095215.3078697,4761,100.0
1569095215.3377905,4762,98.4375
1569095215.3916461,4764,98.4375
1569095215.4843974,4767,96.875
1569095215.691843,4776,100.0
1569095215.7915766,4780,98.4375
1569095215.896296,4784,98.4375
1569095215.9691017,4787,96.875
1569095215.9930372,4788,92.1875
1569095216.1416404,4794,96.875
1569095216.2762804,4800,98.4375
1569095216.3221574,4802,96.875
1569095216.3879814,4805,96.875
1569095222.3876846,4840,95.3125
1569095222.7277749,4852,100.0
1569095223.2035031,4871,100.0
1569095223.2623458,4873,100.0
1569095223.6104152,4889,96.875
1569095223.6692586,4892,95.3125
1569095223.709152,4894,98.4375
1569095223.7290988,4895,100.0
1569095224.2197857,4914,100.0
1569095229.4935522,4938,95.3125
1569095229.5763304,4941,95.3125
1569095229.9283898,4954,98.4375
1569095230.136832,4962,100.0
1569095230.3652213,4971,98.4375
1569095230.4470022,4974,100.0
1569095230.495872,4976,100.0
1569095230.5168157,4977,98.4375
1569095230.8808424,4991,95.3125
1569095231.0942717,4999,98.4375
1569095236.6552014,5021,98.4375
1569095236.7758787,5027,96.875
1569095236.856663,5030,98.4375
1569095237.0651057,5037,95.3125
1569095237.3822582,5050,96.875
1569095237.422152,5052,98.4375
1569095237.458055,5053,96.875
